B,G,R,Time[ms]
121.41687596386869,92.26029962546819,66.31174267459794,0.0
121.17158505860444,92.22225873589659,66.28366743345383,33.333333333333336
121.25336193930815,92.18997168893215,66.14086968061576,66.66666666666667
121.43033122853664,91.9926221335992,66.30838595325136,100.0
121.03968043785312,91.84778866525423,65.93546963276836,133.33333333333334
121.12427580758428,91.96872805477527,66.06623068820224,166.66666666666666
120.81707714714257,91.84522748516399,66.01571636632393,200.0
120.98251458932148,91.59213047643934,66.26794268791917,233.33333333333331
121.31917544703363,91.80682464040571,66.47151663533424,266.6666666666667
120.73276352030778,91.64348795523108,65.95654264853758,300.0
124.68723903354444,93.91787473610134,67.68881069669247,333.3333333333333
124.92602107566783,94.00870620138443,67.70020695068864,366.6666666666666
125.44384032050364,94.29660895693232,68.12944150331474,400.0
125.06887012925071,94.17980636237895,67.78597319597462,433.33333333333337
125.4341235632184,94.42502394636016,67.96982758620689,466.66666666666674
125.37365860638144,94.34943005675585,67.93985787189392,500.0
124.97893511921724,94.16350812197209,67.78163294385865,533.3333333333334
125.48931475307606,94.37226872616506,68.03616914110282,566.6666666666666
125.27366704242918,94.40666298899096,67.83963734919531,600.0
125.452306004674,94.50147851385508,68.07275718986979,633.3333333333333
125.47028664091192,94.5306672389946,68.1030428769018,666.6666666666666
125.22442409500644,94.48864882911242,67.98049315591167,700.0
125.30929555968905,94.41970715886869,67.98752802022226,733.3333333333333
125.35053845969351,94.39685318878469,67.90336507327369,766.6666666666667
125.5845556306089,94.33081636591723,68.00195406735502,800.0
125.78323643410853,94.44886143410852,68.09920058139535,833.3333333333335
125.76729287090559,94.52434971098265,68.14896435452793,866.6666666666667
126.17802810077521,94.41688468992248,68.46787790697674,900.0
126.00116959064327,94.40090155945421,68.11764132553606,933.3333333333336
126.95179570209007,94.9751005789422,68.72735747227945,966.6666666666664
127.05022752428977,95.12254335260117,68.81173287418521,1000.0
127.3898659451482,95.05312999631045,69.14787848973066,1033.3333333333335
127.3567088918952,95.06823268970606,69.14315582339195,1066.6666666666667
126.88643463288649,95.04936662157176,68.61682449883163,1100.0
126.55118167849564,94.86724714031365,68.56466915441086,1133.3333333333333
126.34020494273659,94.92339963833635,68.56759493670886,1166.6666666666667
126.16522823168393,94.82753164556965,68.47358074415037,1200.0
126.0152220888355,94.72902761104444,68.24665066026411,1233.3333333333335
126.00374549819927,94.71135654261705,68.23399759903961,1266.6666666666665
126.76923826222479,95.15008279758423,68.58781414377556,1300.0
126.85365617433412,95.38663438256658,68.78029055690072,1333.3333333333333
127.26098285602959,95.23322131307228,69.06263393726864,1366.6666666666667
126.75539620984854,95.08599790249019,68.56169361722885,1400.0
126.87084082187788,94.84320202069269,68.75365521931316,1433.333333333333
126.6210469981512,94.57545976452272,68.5485063734553,1466.6666666666665
125.67318007662836,94.36226053639848,67.99956896551724,1500.0
125.46247777119144,93.99577949021929,68.08450503852993,1533.3333333333335
124.62338329364523,93.79448568893869,67.68412942989214,1566.666666666667
124.89656860459696,94.00962748846099,67.99319315585808,1600.0
124.5471166720532,93.87296274066208,67.93822429475046,1633.333333333333
