Time[ms],HR[bpm]
833,77.77778
867,77.77778
900,71.64179
933,71.64179
967,71.64179
1000,71.64179
1033,72.0
1067,72.0
1100,72.0
1133,72.0
1167,72.0
1200,72.0
1233,72.0
1267,72.0
1300,72.0
1333,72.0
1367,72.0
1400,72.0
1433,72.0
1467,72.0
1500,72.0
1533,72.4138
1567,72.4138
1600,72.4138
1633,72.4138
1667,72.72726999999998
1700,72.72726999999998
1733,72.72726999999998
1767,72.72726999999998
1800,72.72726999999998
1833,81.81818
1867,83.72093000000002
1900,83.72093000000002
1933,83.72093000000002
1967,83.72093000000002
2000,83.72093000000002
2033,83.72093000000002
2067,83.72093000000002
2100,83.72093000000002
2133,83.72093000000002
2167,83.72093000000002
2200,83.72093000000002
2233,83.72093000000002
2267,83.72093000000002
2300,83.72093000000002
2333,84.375
2367,84.375
2400,84.375
2433,84.375
2467,84.375
2500,84.375
2533,84.375
2567,84.375
2600,84.375
2633,84.375
2667,84.375
2700,84.375
2733,84.375
2767,83.72093000000002
2800,83.72093000000002
2833,83.72093000000002
2867,83.72093000000002
2900,83.72093000000002
2933,83.72093000000002
2967,83.72093000000002
3000,83.72093000000002
3033,83.72093000000002
3067,83.50516
3100,83.50516
3133,83.50516
3167,83.50516
3200,83.50516
3233,83.50516
3267,83.50516
3300,83.50516
3333,83.50516
3367,83.50516
3400,83.50516
3433,83.72093000000002
3467,83.72093000000002
3500,83.72093000000002
3533,83.72093000000002
3567,83.72093000000002
3600,83.72093000000002
3633,83.72093000000002
3667,83.72093000000002
3700,83.72093000000002
3733,85.71429
3767,85.71429
3800,85.71429
3833,85.71429
3867,85.71429
3900,85.71429
3933,85.71429
3967,85.71429
4000,85.71429
4033,85.71429
4067,85.71429
4100,85.71429
4133,85.71429
4167,85.71429
4200,85.71429
4233,87.09676999999998
4267,87.09676999999998
4300,87.09676999999998
4333,87.09676999999998
4367,87.09676999999998
4400,87.09676999999998
4433,87.09676999999998
4467,87.09676999999998
4500,87.09676999999998
4533,87.09676999999998
4567,87.09676999999998
4600,87.09676999999998
4633,87.09676999999998
4667,87.09676999999998
4700,87.09676999999998
4733,87.09676999999998
4767,87.09676999999998
4800,87.09676999999998
4833,87.09676999999998
4867,89.44099
4900,89.44099
4933,89.44099
4967,89.44099
5000,89.44099
5033,89.44099
5067,89.44099
5100,89.44099
5133,89.44099
5167,89.44099
5200,89.44099
5233,89.44099
5267,89.44099
5300,89.44099
5333,89.44099
5367,89.44099
5400,82.65306
5433,82.65306
5467,82.65306
5500,82.65306
5533,82.65306
5567,82.65306
5600,82.65306
5633,82.65306
5667,82.65306
5700,83.23699
5733,83.23699
5767,83.23699
5800,83.23699
5833,83.23699
5867,83.23699
5900,83.23699
5933,83.23699
5967,83.23699
6000,83.23699
6033,83.23699
6067,83.23699
6100,83.23699
6133,83.23699
6167,82.65306
6200,82.65306
6233,82.23351
6267,82.23351
6300,82.23351
6333,82.23351
6367,82.23351
6400,82.23351
6433,82.23351
6467,81.81818
6500,81.81818
6533,81.81818
6567,81.81818
6600,81.81818
6633,81.81818
6667,81.81818
6700,81.81818
6733,81.81818
6767,81.81818
6800,81.81818
6833,81.81818
6867,82.65306
6900,82.65306
6933,82.65306
6967,82.65306
7000,82.65306
7033,82.65306
7067,82.65306
7100,82.65306
7133,82.65306
7167,80.89888
7200,80.89888
7233,80.89888
7267,80.89888
7300,80.89888
7333,80.89888
7367,80.0
7400,80.0
7433,80.0
7467,80.89888
7500,80.89888
7533,80.89888
7567,80.89888
7600,80.89888
7633,80.89888
7667,80.89888
7700,79.80296
7733,79.80296
7767,78.68852
7800,78.68852
7833,78.68852
7867,78.68852
7900,78.68852
7933,78.26087
7967,78.26087
8000,78.26087
8033,78.26087
8067,78.26087
8100,78.26087
8133,78.26087
8167,78.26087
8200,78.26087
8233,78.26087
8267,78.26087
8300,78.26087
8333,78.26087
8367,78.26087
8400,78.26087
8433,77.77778
8467,77.77778
8500,77.77778
8533,77.77778
8567,77.77778
8600,77.77778
8633,77.77778
8667,77.77778
8700,77.77778
8733,75.0
8767,77.77778
8800,74.22681
8833,74.22681
8867,74.22681
8900,74.22681
8933,74.22681
8967,64.94846
9000,64.94846
9033,64.94846
9067,55.6701
9100,55.6701
9133,55.6701
9167,52.63158000000001
9200,52.63158000000001
9233,52.63158000000001
9267,52.63158000000001
9300,52.63158000000001
9333,52.63158000000001
9367,52.63158000000001
9400,52.63158000000001
9433,52.63158000000001
9467,52.63158000000001
9500,52.63158000000001
9533,52.63158000000001
9567,52.63158000000001
9600,52.63158000000001
9633,52.63158000000001
9667,52.63158000000001
9700,52.63158000000001
9733,52.63158000000001
9767,52.63158000000001
9800,52.63158000000001
9833,52.63158000000001
9867,52.63158000000001
9900,52.63158000000001
9933,52.55474
9967,52.32558
10000,52.55474
10033,51.72414000000001
10067,52.32558
10100,52.32558
10133,52.32558
10167,52.32558
10200,52.32558
10233,52.32558
10267,52.32558
10300,52.32558
10333,52.32558
10367,52.32558
10400,52.32558
10433,52.32558
10467,52.32558
10500,52.32558
10533,52.32558
10567,52.32558
10600,52.32558
10633,52.32558
10667,52.32558
10700,52.32558
10733,52.32558
10767,52.32558
10800,52.32558
10833,56.25
10867,56.25
10900,56.25
10933,56.25
10967,56.25
11000,46.875
11033,46.875
11067,45.56962
11100,45.56962
11133,45.56962
11167,45.56962
11200,45.56962
11233,45.56962
11267,45.56962
11300,45.56962
11333,45.56962
11367,45.56962
11400,45.56962
11433,45.56962
11467,45.85987
11500,45.85987
11533,45.85987
11567,45.85987
11600,45.85987
11633,47.87234
11667,47.87234
11700,47.87234
11733,47.87234
11767,47.87234
11800,47.87234
11833,47.87234
11867,47.87234
11900,47.87234
11933,47.87234
11967,47.87234
12000,47.87234
12033,47.87234
12067,47.87234
12100,47.87234
12133,47.87234
12167,47.87234
12200,44.7205
12233,44.7205
12267,44.7205
12300,44.7205
12333,44.7205
12367,44.7205
12400,44.7205
12433,44.7205
12467,44.7205
12500,44.7205
12533,44.7205
12567,44.7205
12600,44.7205
12633,44.7205
12667,44.7205
12700,44.7205
12733,44.7205
12767,45.0
12800,45.28302
12833,45.28302
12867,46.875
12900,46.875
12933,46.875
12967,46.875
13000,46.875
13033,46.875
13067,46.875
13100,46.875
13133,48.32215
13167,48.32215
13200,48.32215
13233,48.32215
13267,48.32215
13300,48.32215
13333,48.32215
13367,48.32215
13400,48.32215
13433,52.63158000000001
13467,52.63158000000001
13500,52.63158000000001
13533,52.32558
13567,52.32558
13600,52.32558
13633,52.32558
13667,52.32558
13700,52.32558
13733,52.32558
13767,52.32558
13800,52.32558
13833,52.32558
13867,52.32558
13900,52.32558
13933,52.32558
13967,52.32558
14000,52.32558
14033,52.63158000000001
14067,52.63158000000001
14100,52.63158000000001
14133,52.63158000000001
14167,52.63158000000001
14200,52.63158000000001
14233,52.63158000000001
14267,52.63158000000001
14300,52.63158000000001
14333,52.63158000000001
14367,54.27136
14400,54.27136
14433,54.27136
14467,54.27136
14500,54.0
14533,54.0
14567,53.89222
14600,53.89222
14633,53.89222
14667,53.89222
14700,53.89222
14733,53.89222
14767,53.89222
14800,53.89222
14833,53.89222
14867,53.89222
14900,53.89222
14933,53.89222
14967,53.89222
15000,53.89222
15033,53.89222
15067,53.89222
15100,53.89222
15133,53.89222
15167,53.89222
15200,53.89222
15233,53.89222
15267,53.89222
15300,53.89222
15333,53.89222
15367,53.89222
15400,53.89222
15433,53.89222
15467,53.89222
15500,53.89222
15533,53.89222
15567,53.89222
15600,53.89222
15633,53.89222
15667,63.15789
15700,63.15789
15733,58.82353000000001
15767,58.82353000000001
15800,58.82353000000001
15833,58.82353000000001
15867,58.82353000000001
15900,59.21053000000001
15933,59.21053000000001
15967,59.21053000000001
16000,59.21053000000001
16033,59.21053000000001
16067,59.21053000000001
16100,59.21053000000001
16133,59.21053000000001
16167,59.21053000000001
16200,59.21053000000001
16233,59.21053000000001
16267,59.21053000000001
16300,59.21053000000001
16333,59.21053000000001
16367,59.21053000000001
16400,59.21053000000001
16433,59.21053000000001
16467,61.36364
16500,61.36364
16533,61.36364
16567,61.36364
16600,61.36364
16633,61.36364
16667,61.36364
16700,61.36364
16733,61.36364
16767,61.36364
16800,61.36364
16833,61.36364
16867,61.36364
16900,61.36364
16933,61.36364
16967,61.36364
17000,61.36364
17033,61.36364
17067,61.36364
17100,61.36364
17133,61.36364
17167,61.36364
17200,61.36364
17233,61.36364
17267,61.36364
17300,61.36364
17333,61.36364
17367,61.36364
17400,61.36364
17433,61.64384
17467,61.64384
17500,61.64384
17533,61.64384
17567,61.64384
17600,61.64384
17633,61.64384
17667,61.64384
17700,61.64384
17733,61.64384
17767,61.64384
17800,61.64384
17833,61.64384
17867,61.64384
17900,61.64384
17933,61.64384
17967,61.64384
18000,61.64384
18033,61.64384
18067,61.64384
18100,59.66851
18133,59.66851
18167,59.66851
18200,59.66851
18233,59.66851
18267,59.66851
18300,59.66851
18333,59.66851
18367,59.66851
18400,59.66851
18433,60.0
18467,60.0
18500,61.36364
18533,61.36364
